OrderID,OrderDate,CustomerID,CustomerName,Email,Region,Country,ProductCategory,ProductName,Quantity,UnitPrice,Discount,ShippingCost,PaymentMethod,OrderStatus,SignupDate
12353,28-08-2023,CUST1711,Stephanie Elliott,stephanie.elliott46@yahoo.com,North,USA,apparel,Cotton T-Shirt,4,21.31,10%,14.28,CREDIT CARD,shipped,09/04/2024
11894,12/11/23,CUST1318,Stephen Hoffman,,East,canada,Apparel,Denim Jacket,4,89.99,0,7.83,gift card,returned,02/25/2024
ORD-11063,"September 10, 2024",CUST1239,Yvonne Chambers,yvonne.chambers8@hotmail.com,north,canada,TOYS,Action Figure,2,44.28,,,GiftCard,delivered,31-07-2021
12221,31-12-2023,CUST1551,Angel Gordon,angel.gordon72@outlook.com,central,United States,Beauty,Face Moisturizer,2,41.06,0,21.9,Debit,CANCELLED,04/03/22
ORD-12606,04/03/2024,CUST1791,Cody Reid,cody.reid33@outlook.com,Nort,USA,TOYS,Puzzle 1000pc,6,42.26,0.25,4.07,gift card,shipped,10-Feb-2021
11689,09/01/2023,CUST1028,Zachary Hicks,zachary.hicks86@outlook.com,WEST,Canada,Beauty,Hair Dryer,1,39.96,0,4.03,GiftCard,Returned,"June 17, 2023"
10554,unknown,CUST1560,Nancy Evans MD,nancy.md5@outlook.com,east,Canada,Clothing,Cotton T-Shirt,1,67.84,,6.48,Debit,Returned,11-02-2021
ORD-11485,07/20/2023,CUST1000,Allison Hill,allison.hill4@outlook.com,South,Mexico,home & kitchen,LED Desk Lamp,6,123.18,,24.82,CC,delivered,05/17/2022
ORD-12626,"August 26, 2023",CUST1663,  SAMUEL TURNER  ,samuel.turner51@yahoo.com,EAST,Canada,Home&Kitchen,Non-stick Pan Set,4,169.86,0.15,7.97,Debit Card,PENDING,07/26/2023
11382,"September 09, 2023",CUST1325,Patrick Moore,patrick.moore91@outlook.com,East,USA,Clothing,Baseball Cap,1,54.71,0,9.3,gift card,Pending,2023-08-31
ORD-11250,"April 16, 2024",CUST1687,Robert Jackson,robert.jackson24@gmail.com,West,canada,Sports & Outdoors,Camping Tent,1,-24.28,10%,19.12,credit card,returned,11/01/2023
ORD-12667,28-Oct-2023,CUST1537,Bianca Wood,bianca.wood46@hotmail.com,East,canada,Electronic,Smartwatch,3,-156.79,0,17.28,Debit,SHIPPED,21-Jan-2024
ORD-10922,07/27/2024,CUST1098,Jessica Smith,,South,Canada,Beuty,Face Moisturizer,1,-44.68,5%,10.03,PAYPAL,Delivered,03/05/2021
ORD-12207,12/07/2024,CUST1805,Ronald Potter,ronald.potter76@hotmail.com,Centrl,US,Home&Kitchen,LED Desk Lamp,6,70.63,,18.16,CC,RETURNED,07/16/24
12486,11-Apr-2023,CUST1708,Joseph Williams,joseph.williams29@outlook.com,south,Mexico,Toy,Action Figure,-1,28.36,0,0.3,Credit Card,Pending,2022-02-02
ORD-11420,2023-07-09,CUST1022,Ethan Adams,ethan.adams81@outlook.com,Central,United States,Home&Kitchen,Air Fryer,3,62.06,0.25,8.6,PAYPAL,Shipped,"August 01, 2024"
ORD-12610,03/10/23,CUST1144,Amber Wright,amber.wright25@outlook.com, West ,Canada,Sports & Outdoors,Yoga Mat,5,135.89,0.05,11.63,Credit Card,RETURNED,29-Jun-2024
ORD-10067,10/21/23,CUST1649,Alexis Harris,alexis.harris13@hotmail.com,south,US,Sports and Outdoors,Yoga Mat,1,53.48,0,,paypal,Deliverd,09/17/24
ORD-10607,06/09/2023,CUST1417,Carrie Wright,carrie.wright42@hotmail.com,west,US,BEAUTY,Hair Dryer,2,38.55,0,3.32,PayPal,returned,26-01-2021
ORD-12241,12/22/2023,CUST1524,Krista Martinez,krista.martinez42@yahoo.com,South,USA,Electronics,Webcam,1,140.01,0,23.64,gift card,Cancelled,07/06/21
ORD-10687,16-06-2023,CUST1510,Rebecca Hicks,rebecca.hicks2@outlook.com,central,USA,apparel,Denim Jacket,5,37.03,0,1.15,credit card,shipped,15-02-2022
11470,06-Apr-2023,CUST1086,Shirley Suarez,shirley.suarez92@outlook.com,EAST,USA,Sports,Yoga Mat,4,121.36,0,4.05,GiftCard,RETURNED,26-04-2022
ORD-12138,2024-01-17,CUST1701,  JAMES WATSON  ,james.watson1@gmail.com,North,USA,Sports and Outdoors,Water Bottle,-1,81.03,0.15,24.59,Credit_Card,returned,2024-04-14
ORD-12863,"July 05, 2024",CUST1691,Pamela Gutierrez,pamela.gutierrez88@outlook.com,west,USA,ELECTRONICS,Bluetooth Speaker,3,136.27,0.25,0.37,Debit Card,delivered,2023-02-21
ORD-10131,02/16/23,CUST1832,Scott Alexander,scott.alexander97@outlook.com,Sth,Canada,Sports & Outdoors,Water Bottle,3,148.16,0.25,19.62,credit card,Pending,06/18/23
11944,2023-04-25,CUST1536,Morgan Valencia,morgan.valencia68@yahoo.com,North,US,Sports and Outdoors,Yoga Mat,2,7724.73,,24.22,PayPal,pending,"July 15, 2024"
10392,04-05-2023,CUST1321,Charles Shah,charles.shah97@yahoo.com,Centrl,US,beauty,Shampoo Set,2,54.44,0,,GiftCard,pending,"February 12, 2022"
11222,11/29/24,CUST1440,Jeremy Mitchell,jeremy.mitchell58@outlook.com,Nort,Mexico,sports & outdoors,Water Bottle,4,121.74,0,20.71,Debit Card,Shipped,18-05-2021
ORD-12973,06/01/23,CUST1766,Raymond Chapman,raymond.chapman14@gmail.com,EAST,Canada,Electronic,Webcam,2,40.79,10%,7.71,Credit Card,CANCELLED,28-10-2023
ORD-11764,05/16/23,CUST1564,Molly Watts,molly.watts21@gmail.com,south,United States,Home and Kitchen,Air Fryer,6,134.28,0,1.94,gift card,Shipped,27-07-2021
ORD-11300,"April 12, 2024",CUST1292,Jeremy Reed,jeremy.reed16@yahoo.com,West,Canada,Beauty,Hair Dryer,5,51.76,,,paypal,Canceled,10/12/2021
11196,27-03-2024,CUST1586,Dwayne Klein,dwayne.klein89@hotmail.com,east,Mexico,Beauty,Hair Dryer,,59.57,0,19.81,CREDIT CARD,Deliverd,21-Mar-2021
ORD-11512,05-02-2023,CUST1390,Thomas Atkins,thomas.atkins75@hotmail.com,South,USA,Clothing,Running Shoes,2,16.6,5%,5.14,Gift Card,CANCELLED,08/28/2022
12228,09/13/2023,CUST1057,Richard Aguirre,richard.aguirre72@gmail.com,SOUTH,canada,beauty,Sunscreen SPF50,4,50.34,0,0.56,Debit Card,Pending,2021-08-18
ORD-12411,11/28/23,CUST1295,John Young,john.young53@gmail.com,NORTH,US,beauty,Sunscreen SPF50,3,26.89,0.05,6.25,Credit Card,pending,14-09-2021
ORD-10638,2023-05-03,CUST1455,Marie Moody,marie.moody50@hotmail.com,west,US,Sports & Outdoors,Resistance Bands,3,59.89,0.25,8.06,PAYPAL,Returned,04/18/23
ORD-11320,03-01-2023,CUST1431,Jack White,jack.at.gmail.com,Centrl,US,beauty,Shampoo Set,3,14.23,0.1,22.77,gift card,Cancelled,09-May-2024
ORD-11041,30-Nov-2024,CUST1158,Melissa Gates,melissa.gates2@yahoo.com,SOUTH,Canada,Clothing,Denim Jacket,1,-80.03,0.05,0.69,Credit_Card,delivered,04/20/23
ORD-12436,"September 20, 2024",CUST1808,Patricia Young PhD,patricia.phd1@yahoo.com,west,canada,ELECTRONICS,Webcam,-3,26.94,0,0.58,Gift Card,DELIVERED,06-12-2022
ORD-11725,"August 04, 2024",CUST1173,Matthew Harrington,,WEST,USA,beauty,Face Moisturizer,4,43.66,0.15,15.43,CC,shipped,"April 11, 2021"
ORD-10361,05/21/23,CUST1109,Sharon Cochran,sharon.cochran32@hotmail.com,west,USA,home & kitchen,Throw Blanket,-2,75.02,0.1,15.07,CREDIT CARD,Delivered,"March 13, 2024"
ORD-10298,11/11/2023,CUST1782,Chelsea Nguyen,chelsea.nguyen79@outlook.com,Est,United States,Home&Kitchen,Air Fryer,1,161.84,0,6.83,Debit,PENDING,"January 19, 2022"
ORD-12556,2024-07-15,CUST1727,Nancy Stewart,,Nort,Mexico,Electronics,Wireless Earbuds,1,206.42,0.05,4.68,Credit_Card,DELIVERED,21-08-2024
ORD-10175,2022-08-25,CUST1424,Felicia Aguilar,felicia.aguilar84@yahoo.com,CENTRAL,Mexico,Home and Kitchen,LED Desk Lamp,5,175.63,0.2,4.34,paypal,Pending,08-09-2022
12419,"February 17, 2024",CUST1685,Mr. Michael Scott PhD,mr..phd42@gmail.com,east,US,Toy,Action Figure,5,39.0,0.15,3.21,Debit,DELIVERED,"July 04, 2024"
10210,12-Aug-2023,CUST1367,Holly Farmer,holly.farmer88@yahoo.com,NORTH,United States,BEAUTY,Face Moisturizer,5,32.22,0,4.61,GiftCard,Returned,31-08-2024
ORD-11544,29-09-2024,CUST1734,Steven Stein,steven.stein62@yahoo.com, West ,Canada,Apparel,Baseball Cap,3,,0,5.2,gift card,CANCELLED,04/24/2024
10340,23-Aug-2023,CUST1446,Brenda Wright,brenda.wright69@yahoo.com,south,US,ELECTRONICS,Wireless Earbuds,4,151.7,0,4.88,Credit Card,DELIVERED,20-01-2023
ORD-10473,"January 04, 2024",CUST1765,Laura Griffin,laura.griffin59@hotmail.com,East,United States,toys,Building Blocks Set,2,17.25,10%,2.58,paypal,delivered,2024-03-23
ORD-10636,03/16/2023,CUST1233,Laura Roberts,laura.roberts73@outlook.com,south,US,apparel,Baseball Cap,3,66.26,25%,1.61,Debit Card,CANCELLED,08-07-2024
ORD-11006,2024-08-08,CUST1664,Renee Melendez,renee.melendez6@gmail.com,Centrl,canada,Electronics,Bluetooth Speaker,6,248.77,20%,19.62,CREDIT CARD,shipped,12-Jul-2023
ORD-11991,"August 16, 2023",CUST1010,Monica Herrera,monica.herrera21@outlook.com,east,Mexico,TOYS,RC Car,3,16.29,0.05,22.09,Credit Card,RETURNED,12/29/2022
ORD-12778,"December 05, 2024",CUST1112,Julia Torres,,SOUTH,Mexico,Home&Kitchen,Throw Blanket,6,75.45,0.15,7.01,Credit_Card,Pending,2022-01-27
ORD-12302,04/25/24,CUST1531,Mark Jimenez,,West,US,Apparel,Running Shoes,1,43.46,0.25,6.66,debit card,Canceled,21-Mar-2024
ORD-10311,"June 01, 2023",CUST1523,Sarah King,sarah.king12@yahoo.com,Centrl,Canada,BEAUTY,Face Moisturizer,2,12.87,0,15.52,debit card,returned,09/16/22
ORD-12074,18-Mar-2024,CUST1076,Angela Lopez,angela.lopez95@yahoo.com,Est,canada,Toys,Board Game,2,53.94,0.15,8.48,Gift Card,RETURNED,2024-09-11
10723,10-Aug-2023,CUST1163,Jeffrey Johnson,jeffrey.johnson98@gmail.com,EAST,Canada,apparel,Cotton T-Shirt,2,74.91,0.2,15.25,Debit,returned,06/28/2023
ORD-10623,10-Feb-2024,CUST1832,scott alexander,scott.alexander97@outlook.com,SOUTH,Canada,electronics,Webcam,1,142.11,,24.71,credit card,delivered,06/18/23
ORD-10726,09/29/23,CUST1066,Tracy House,tracy.house69@outlook.com,east,United States,sports & outdoors,Camping Tent,-1,25.63,0,6.6,GiftCard,Pending,2021-02-26
ORD-12093,03/12/2024,CUST1761,Amanda Terrell,amanda.terrell22@gmail.com,Nort,United States,Toy,Building Blocks Set,2,-36.87,0,13.09,Gift Card,PENDING,01/07/2023
ORD-10246,10-07-2023,CUST1447,Shelly Spencer,shelly.spencer86@hotmail.com,Est,canada,Appare,Running Shoes,6,26.57,0,,paypal,DELIVERED,12/17/23
12456,10/18/24,CUST1072,Brittney Phillips,brittney.phillips53@outlook.com,EAST,canada,Toy,Action Figure,4,38.3,5%,11.8,Credit Card,SHIPPED,04/05/23
ORD-10073,04/09/24,CUST1014,Dylan Miller,dylan.miller28@outlook.com,west,US,Appare,Running Shoes,2,40.57,10%,,paypal,shipped,03/12/22
ORD-11090,"December 07, 2024",CUST1476,Robin Brown,robin.brown36@gmail.com,east,Canada,beauty,Face Moisturizer,5,45.3,0,14.2,credit card,cancelled,02-09-2024
ORD-10448,"March 11, 2024",CUST1395,Dana Chapman,dana.chapman81@yahoo.com,South,Canada,home & kitchen,Throw Blanket,1,94.09,0.25,24.09,paypal,Returned,05/20/21
ORD-11733,01/16/2023,CUST1818,Michael Poole,,north,US,BEAUTY,Lipstick,4,16.99,0,14.55,CC,Deliverd,07/04/2021
13070,03/26/2023,CUST1022,Ethan Adams,ethan.adams81@outlook.com,Central,United States,Clothing,Cotton T-Shirt,1,29.42,0.1,12.43,Gift Card,PENDING,"August 01, 2024"
ORD-10846,01-01-2024,CUST1095,anna henderson,anna.henderson24@gmail.com,EAST,United States,apparel,Denim Jacket,2,51.52,0.2,0.66,Debit,Canceled,17-Jun-2022
ORD-12412,04/24/24,CUST1026,Justin Baker,justin.baker69@yahoo.com,West,canada,Sports & Outdoors,Water Bottle,5,25.09,0,20.31,Pay Pal,DELIVERED,09/20/21
ORD-12576,02-11-2023,CUST1414,Erica Alvarez,erica.at.gmail.com,Est,USA,Toys,Puzzle 1000pc,4,58.52,0,21.4,PAYPAL,returned,24-Sep-2022
ORD-12256,01/03/2024,CUST1504,Katherine Martinez,katherine.martinez14@gmail.com,Central,Canada,Appare,Wool Sweater,6,52.82,0,9.87,Pay Pal,Returned,04/13/22
10194,09/14/2023,CUST1592,jason love,jason.love68@gmail.com,SOUTH,Canada,Electronic,Laptop Stand,6,233.24,0.15,10.69,gift card,Pending,12/22/2021
12993,01/06/24,CUST1645,Kim Morrow,kim.morrow76@hotmail.com,WEST,United States,home & kitchen,Coffee Maker,3,-19.01,0,24.5,Pay Pal,Shipped,03/11/24
ORD-12461,04-Mar-2023,CUST1519,vincent reynolds,vincent.reynolds95@outlook.com,EAST,United States,sports & outdoors,Yoga Mat,4,106.89,0.2,17.36,Credit Card,Deliverd,14-Oct-2022
ORD-11669,11/25/23,CUST1221,Jeremy Dalton,,Sth,USA,beauty,Lipstick,2,-35.24,0.05,9.69,Credit_Card,Returned,09/10/2022
ORD-11670,2023-10-15,CUST1805,Ronald Potter,ronald.potter76@hotmail.com,Centrl,US,beauty,Face Moisturizer,-1,15.83,,21.64,paypal,PENDING,07/16/24
ORD-10363,05-Jan-2024,CUST1109,Sharon Cochran,sharon.cochran32@hotmail.com,west,USA,Electronic,Bluetooth Speaker,2,62.58,0.25,10.2,paypal,PENDING,"March 13, 2024"
ORD-12516,2024-11-30,CUST1812,Douglas Ryan,douglas.ryan50@hotmail.com, North,US,Sports and Outdoors,Water Bottle,6,131.12,0,6.58,Credit_Card,RETURNED,28-03-2022
10654,"March 12, 2023",CUST1384,Aimee Turner,aimee.turner28@hotmail.com,east,Canada,Beuty,Sunscreen SPF50,2,26.14,0,8.92,PayPal,pending,04-03-2022
ORD-12757,06-Mar-2024,CUST1664,Renee Melendez,renee.melendez6@gmail.com,Central,canada,apparel,Running Shoes,4,83.33,0,17.76,CREDIT CARD,Deliverd,12-Jul-2023
